Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100n","C1, C2, C6, C15, C16","C0603","C14663"
"220n","C3","C0603","C21120"
"10n","C4","C0603","C100042"
"5.6n","C5","C0603","C170143"
"10u","C7, C8, C9, C10, C11, C12, C13, C14","C0805","C15850"
"10u","C17","C0603","C19702"
"1N4148WS","D1, D2, D3, D5, D9","SOD-323","C2128"
"LED-GREEN-0805","D4, D6, D7, D8","LED-0805","C2297"
"B5819W","D10, D11, D12, D13, D14","D_SOD-123","C8598"
"Fuse-Pad-Pad","F1","PAD-1206-PAD",""
"Fuse-Pad-Pad","F2","PAD-1206-PAD","C182446"
"PROTO_AREA","G1","PROTO_AREA",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"DISCLAIMER","G4","Off_Road_Disclaimer",""
"PROTO_AREA","G5","PROTO_AREA",""
"LOGO","G6","LOGO",""
"LOGO","G7","LOGO",""
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"Conn_01x01","J2","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J3","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J5","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J6","TestPoint_Pad_D2.0mm",""
"Conn_01x08","J7","PinHeader_1x08_P2.54mm_Vertical",""
"Conn_01x06","J8","PinHeader_1x06_P2.54mm_Vertical",""
"AudioJack_THR","J10","Jack_3.5mm_PJ-3250-5A","C165947"
"368255-2","P1","368255-2",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P40","PAD-TH",""
"Pad","P41","PAD-TH",""
"Pad","P43","PAD-TH",""
"Pad","P44","PAD-TH",""
"Pad","P45","PAD-TH",""
"Pad","P46","PAD-TH",""
"Pad","P48","PAD-TH",""
"Pad","P49","PAD-TH",""
"Pad","P56","PAD-TH",""
"Pad","P61","PAD-TH",""
"Pad","P63","PAD-TH",""
"Pad","P64","PAD-TH",""
"Pad","P66","PAD-TH",""
"Pad","P67","PAD-TH",""
"Pad","P68","PAD-TH",""
"Pad","P69","PAD-TH",""
"Pad","P74","PAD-TH",""
"Pad","P80","PAD-TH",""
"100","R1","R0603","C22775"
"Jumper-Pad-Pad","R2, R4, R9, R10, R11, R12, R13","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R3","PAD-0805-PAD",""
"100k","R5","R0603","C25803"
"2.7k","R6, R7","R0603","C13167"
"Jumper-Pad-Pad","R8","PAD-0805-PAD",""
"5.1k","R16, R17","R0603","C23186"
"4.7k","R18, R19, R134","R0603","C23162"
"1.6k","R20","R0603","C22847"
"750","R21","R0603","C23241"
"10k","R22","R0603","C25804"
"0","R23","R0603","C21189"
"Button_SPST","S1, S2","SMD-2_2.9x3.9x1.7","C115357"
"MCP6002-xSN","U3","SO8","C7377"
"STM32F429IGT6 ","U105","LQFP176","C54328"
"MWSA0503S-100MT","L421","SMD-5.2x5.4x2.8","C408412"
"LBC3225T2R2MR","L420","1210","C223413"
"AP2331W-7","U103, U480","SOT-23","C460346"
"LMR14030","U420","SOP8","C182078"
"LP2981-33DBVR","U410","SOT-23-5","C129997"
"ZXMS6005SGTA","Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C174042"
"nSMD050-24V","F410, F300","F1206","C70076"
"74LVC4245APW,118","U460","TSSOP-24","C6091"
"620","R133","R0603","C23220"
